대지위치,세대수,가구수,노후화
서울특별시 강남구 개포동 652,135,0,41
서울특별시 강남구 논현동 37-12,0,0,2
서울특별시 강남구 수서동 736,119,0,33
서울특별시 강남구 삼성동 53-2,105,0,41
서울특별시 강남구 도곡동 91-5,48,0,24
서울특별시 강남구 세곡동 438-2,1,0,4
서울특별시 강남구 율현동 세곡2공공주택지구,0,3,9
서울특별시 강남구 삼성동 153-38,0,0,4
서울특별시 강남구 대치동 916-53,15,0,28
서울특별시 강남구 삼성동 30-1,12,0,24
서울특별시 강남구 개포동 1216-8,8,0,19
서울특별시 강남구 역삼동 796-9,3,0,22
서울특별시 강남구 역삼동 707-9,0,0,5
서울특별시 강남구 역삼동 691-23,12,0,9
서울특별시 강남구 대치동 1027,54,0,10
서울특별시 강남구 일원동 719,52,0,31
서울특별시 강남구 청담동 16-9,7,0,20
서울특별시 강남구 대치동 926-14,5,0,17
서울특별시 강남구 대치동 941-13,14,0,21
서울특별시 강남구 일원동 628-2,6,0,39
서울특별시 강남구 논현동 178-15,12,0,23
서울특별시 강남구 삼성동 29-22,12,0,24
서울특별시 강남구 역삼동 781-33,9,0,33
서울특별시 강남구 대치동 935-22,16,0,22
서울특별시 강남구 대치동 958-13,0,9,24
서울특별시 강남구 일원동 622-4,0,1,40
서울특별시 강남구 논현동 140-8,0,0,22
서울특별시 강남구 역삼동 678-33,0,0,17
서울특별시 강남구 일원동 135,0,1,25
서울특별시 강남구 개포동 1164-5,0,0,35
서울특별시 강남구 역삼동 796,13,0,24
서울특별시 강남구 역삼동 723-22,19,0,23
서울특별시 강남구 개포동 165-1,6,0,38
서울특별시 강남구 신사동 585-9,0,0,39
서울특별시 강남구 역삼동 694-6,19,0,27
서울특별시 강남구 역삼동 795-10,16,0,28
서울특별시 강남구 대치동 1019-8,8,0,38
서울특별시 강남구 논현동 277-20,0,0,19
서울특별시 강남구 삼성동 10-26,8,0,23
서울특별시 강남구 역삼동 774-46,2,2,20
서울특별시 강남구 논현동 22,88,0,28
서울특별시 강남구 압구정동 369-1,72,0,49
서울특별시 강남구 일원동 734,40,0,32
서울특별시 강남구 자곡동 440-122,0,1,9
서울특별시 강남구 논현동 7-4,0,0,9
서울특별시 강남구 논현동 211-23,0,0,3
서울특별시 강남구 논현동 20-3,6,0,33
서울특별시 강남구 신사동 553-6,6,0,39
서울특별시 강남구 삼성동 120-5,8,0,22
서울특별시 강남구 삼성동 102,36,0,19
서울특별시 강남구 역삼동 707-34,0,0,18
서울특별시 강남구 청담동 34-9,0,0,8
서울특별시 강남구 논현동 107-14,0,0,3
서울특별시 강남구 수서동 723,0,0,14
서울특별시 강남구 논현동 270-34,9,0,14
서울특별시 강남구 자곡동 602,0,0,11
서울특별시 강남구 신사동 544-18,12,0,23
서울특별시 강남구 삼성동 150-20,14,0,20
서울특별시 강남구 삼성동 108-1,18,0,22
서울특별시 강남구 청담동 10,184,0,26
서울특별시 강남구 청담동 60,10,0,26
서울특별시 강남구 청담동 60,30,0,26
서울특별시 강남구 개포동 185,135,0,42
서울특별시 강남구 압구정동 481,72,0,45
서울특별시 강남구 논현동 160-4,16,0,5
서울특별시 강남구 논현동 187-16,16,0,5
서울특별시 강남구 논현동 225-6,0,0,5
서울특별시 강남구 압구정동 490,84,0,48
서울특별시 강남구 역삼동 782-18,8,0,28
서울특별시 강남구 청담동 101-1,12,0,20
서울특별시 강남구 대치동 984-7,9,0,38
서울특별시 강남구 대치동 1027,96,0,10
서울특별시 강남구 일원동 743,0,0,4
서울특별시 강남구 대치동 1027,40,0,10
서울특별시 강남구 역삼동 791-11,4,0,21
서울특별시 강남구 역삼동 684-11,8,0,21
서울특별시 강남구 논현동 148-6,8,0,34
서울특별시 강남구 역삼동 728-6,0,0,22
서울특별시 강남구 논현동 22,96,0,28
서울특별시 강남구 역삼동 694-4,9,0,18
서울특별시 강남구 대치동 979-19,3,0,18
서울특별시 강남구 대치동 896-40,7,0,23
서울특별시 강남구 삼성동 122-4,7,0,23
서울특별시 강남구 역삼동 788-26,0,0,33
서울특별시 강남구 삼성동 123-26,10,0,33
서울특별시 강남구 논현동 6-17,10,0,22
서울특별시 강남구 논현동 269-9,8,0,27
서울특별시 강남구 삼성동 38-3,0,0,23
서울특별시 강남구 개포동 186,0,0,39
서울특별시 강남구 대치동 927,9,0,22
서울특별시 강남구 논현동 96,0,0,38
서울특별시 강남구 대치동 891-6,372,0,21
서울특별시 강남구 역삼동 820-1,0,0,19
서울특별시 강남구 개포동 1231-9,0,1,16
서울특별시 강남구 수서동 707,147,0,33
서울특별시 강남구 일원동 734,30,0,32
서울특별시 강남구 도곡동 951-20,6,0,39
서울특별시 강남구 논현동 62-3,20,0,49
서울특별시 강남구 개포동 160-7,6,0,37
서울특별시 강남구 삼성동 25-14,17,0,24
서울특별시 강남구 역삼동 736-24,0,0,21
서울특별시 강남구 논현동 10-7,0,0,34
서울특별시 강남구 삼성동 16,0,0,17
서울특별시 강남구 역삼동 793-22,0,1,50
